shi_cd,shi_nm,season,time_step,time_step_col,upper_raw,lower_raw,upper_tol,lower_tol,POD_upper_raw,FAR_upper_raw,PPV_upper_raw,POD_lower_raw,FAR_lower_raw,PPV_lower_raw,POD_upper_tol,FAR_upper_tol,PPV_upper_tol,POD_lower_tol,FAR_lower_tol,PPV_lower_tol,best_antecedent_days,a,b,c,POD_api,FAR_api,PPV_api,n_ea,n_esa
5,Micro bacia da Praia Grande,Verao,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
5,Micro bacia da Praia Grande,Verao,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,,0,104
5,Micro bacia da Praia Grande,Outono,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,,1,80
5,Micro bacia da Praia Grande,Outono,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,,1,80
5,Micro bacia da Praia Grande,Outono,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,,1,80
5,Micro bacia da Praia Grande,Outono,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,,1,80
5,Micro bacia da Praia Grande,Outono,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,,1,80
5,Micro bacia da Praia Grande,Outono,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,,1,80
5,Micro bacia da Praia Grande,Outono,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,,1,80
5,Micro bacia da Praia Grande,Outono,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,,1,80
5,Micro bacia da Praia Grande,Outono,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,,1,80
5,Micro bacia da Praia Grande,Outono,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,,1,79
5,Micro bacia da Praia Grande,Inverno,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,,0,38
5,Micro bacia da Praia Grande,Inverno,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,,0,38
5,Micro bacia da Praia Grande,Inverno,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
5,Micro bacia da Praia Grande,Inverno,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
5,Micro bacia da Praia Grande,Inverno,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
5,Micro bacia da Praia Grande,Inverno,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
5,Micro bacia da Praia Grande,Inverno,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
5,Micro bacia da Praia Grande,Inverno,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
5,Micro bacia da Praia Grande,Inverno,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
5,Micro bacia da Praia Grande,Inverno,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
5,Micro bacia da Praia Grande,Primavera,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,,0,67
5,Micro bacia da Praia Grande,Primavera,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,,0,67
5,Micro bacia da Praia Grande,Primavera,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
5,Micro bacia da Praia Grande,Primavera,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
5,Micro bacia da Praia Grande,Primavera,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
5,Micro bacia da Praia Grande,Primavera,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
5,Micro bacia da Praia Grande,Primavera,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
5,Micro bacia da Praia Grande,Primavera,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
5,Micro bacia da Praia Grande,Primavera,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,,0,67
5,Micro bacia da Praia Grande,Primavera,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,,0,61
6,Micro bacia do Saco do Pinhão,Verao,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,,0,109
6,Micro bacia do Saco do Pinhão,Verao,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,,0,109
6,Micro bacia do Saco do Pinhão,Verao,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
6,Micro bacia do Saco do Pinhão,Verao,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
6,Micro bacia do Saco do Pinhão,Verao,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
6,Micro bacia do Saco do Pinhão,Verao,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
6,Micro bacia do Saco do Pinhão,Verao,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
6,Micro bacia do Saco do Pinhão,Verao,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
6,Micro bacia do Saco do Pinhão,Verao,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,,0,109
6,Micro bacia do Saco do Pinhão,Verao,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,,0,104
6,Micro bacia do Saco do Pinhão,Outono,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,,0,81
6,Micro bacia do Saco do Pinhão,Outono,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,,0,81
6,Micro bacia do Saco do Pinhão,Outono,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,,0,81
6,Micro bacia do Saco do Pinhão,Outono,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,,0,81
6,Micro bacia do Saco do Pinhão,Outono,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,,0,81
6,Micro bacia do Saco do Pinhão,Outono,6,I_6h,,,,,,,,,,,,,,,,,0,,,,,,,0,81
6,Micro bacia do Saco do Pinhão,Outono,8,I_8h,,,,,,,,,,,,,,,,,0,,,,,,,0,81
6,Micro bacia do Saco do Pinhão,Outono,10,I_10h,,,,,,,,,,,,,,,,,0,,,,,,,0,81
6,Micro bacia do Saco do Pinhão,Outono,12,I_12h,,,,,,,,,,,,,,,,,0,,,,,,,0,81
6,Micro bacia do Saco do Pinhão,Outono,24,I_24h,,,,,,,,,,,,,,,,,0,,,,,,,0,80
6,Micro bacia do Saco do Pinhão,Inverno,1/6,I_15min,,,,,,,,,,,,,,,,,0,,,,,,,0,38
6,Micro bacia do Saco do Pinhão,Inverno,1/2,I_30min,,,,,,,,,,,,,,,,,0,,,,,,,0,38
6,Micro bacia do Saco do Pinhão,Inverno,1,I_1h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
6,Micro bacia do Saco do Pinhão,Inverno,2,I_2h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
6,Micro bacia do Saco do Pinhão,Inverno,3,I_3h,,,,,,,,,,,,,,,,,0,,,,,,,0,38
