shi_cd,date,api_1d,api_2d,api_3d,api_4d,api_5d,api_6d,api_7d,api_8d,api_9d,api_10d
2,2015-05-05,2.2100000000000004,2.2100000000000004,2.2100000000000004,2.2100000000000004,5.315937187499999,5.466796993749999,5.466796993749999,5.466796993749999,6.995468839219139,6.995468839219139
2,2015-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2015-06-16,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
2,2015-06-19,0.0,0.0,8.966224999999998,14.186287499999997,14.186287499999997,14.186287499999997,14.186287499999997,14.186287499999997,14.186287499999997,14.186287499999997
2,2015-09-08,0.0,0.0,1.8423749999999997,2.2599799999999997,2.3487210624999997,2.8767303843749996,3.3255383079687495,3.3255383079687495,3.3255383079687495,3.3255383079687495
2,2015-09-11,0.17,3.2045,10.205525,10.205525,10.205525,11.336973546874999,11.5934352175,11.647933322507813,11.972197047304297,12.24782121338131
2,2015-09-12,9.860000000000001,10.004500000000002,12.583825000000001,18.53469625,18.53469625,18.53469625,19.49642751484375,19.714419934875,19.760743324131642,20.036367490208654
2,2015-09-13,13.089999999999998,21.470999999999997,21.593824999999995,23.786251249999996,28.844491812499996,28.844491812499996,28.844491812499996,29.661963387617185,29.847256944643746,29.88663182551189
2,2015-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2015-11-02,0.17,0.17,0.90695,1.74216,2.0083831875,2.0083831875,2.0083831875,2.0083831875,2.0083831875,2.0083831875
2,2015-11-07,6.289999999999999,7.734999999999999,12.156699999999999,15.288737499999998,20.613201249999996,20.688631153124994,20.688631153124994,21.015619783171868,21.386206897224994,21.50433153982943
2,2015-11-21,0.17,0.17,0.292825,0.292825,0.292825,2.782011803125,2.782011803125,2.782011803125,2.782011803125,2.782011803125
2,2015-11-23,0.0,18.784999999999997,18.907824999999995,18.907824999999995,18.996566062499994,18.996566062499994,18.996566062499994,20.795003527757807,20.795003527757807,20.795003527757807
2,2015-11-28,0.0,0.289,0.289,0.39340125,8.646320062499997,8.646320062499997,16.981324357812497,17.03582246282031,17.03582246282031,17.075197343688455
2,2015-11-30,5.78,15.1725,15.1725,15.381302499999999,15.381302499999999,15.456732403124999,21.419466245156247,21.419466245156247,27.441506848519527,27.480881729387672
2,2015-12-06,0.0,0.0,0.12282499999999999,0.12282499999999999,0.5665303125,5.84662353125,8.026547731562498,11.56892455707031,11.56892455707031,11.6476743188066
2,2015-12-07,9.860000000000001,9.860000000000001,9.860000000000001,9.964401250000002,9.964401250000002,10.341550765625001,14.8296300015625,16.682565571828125,19.693585873509765,19.693585873509765
2,2015-12-12,0.0,0.0,0.0,0.7308087499999998,10.314843499999998,14.689777881249999,14.689777881249999,14.689777881249999,14.736101270506639,14.736101270506639
2,2016-01-01,0.0,0.0,0.12282499999999999,0.22722624999999996,0.3159673125,0.3159673125,0.3159673125,0.3159673125,0.3159673125,0.3159673125
2,2016-01-13,3.91,4.343500000000001,4.343500000000001,4.552302500000001,4.552302500000001,4.552302500000001,4.552302500000001,4.552302500000001,4.598625889256641,4.756125412729219
2,2016-01-14,19.04,22.3635,22.731975,22.731975,22.909457125,22.909457125,22.909457125,22.909457125,22.909457125,22.948832005868145
2,2016-01-15,13.770000000000001,29.954,32.778975,33.09217875,33.09217875,33.24303855625,33.24303855625,33.24303855625,33.24303855625,33.24303855625
2,2016-01-16,23.119999999999997,34.8245,48.5809,50.98212875,51.248351937500004,51.248351937500004,51.376582772812505,51.376582772812505,51.376582772812505,51.376582772812505
2,2016-01-19,0.51,0.51,30.110825,44.309394999999995,51.497421062499996,59.945570212499995,61.420224818593745,61.58371913361718,61.58371913361718,61.66246889535347
2,2016-02-15,0.0,0.0,0.0,1.8792224999999998,1.8792224999999998,1.8792224999999998,1.8792224999999998,1.8792224999999998,1.8792224999999998,1.8792224999999998
2,2016-02-17,1.7,18.462,18.462,18.462,18.462,19.819738256249998,19.819738256249998,19.819738256249998,19.819738256249998,19.819738256249998
2,2016-02-21,0.0,5.202,6.92155,15.900057499999997,16.787468124999997,25.537336887499997,25.537336887499997,25.537336887499997,25.537336887499997,26.2460847431266
2,2016-02-25,0.0,0.0,0.0,9.082908749999998,9.082908749999998,11.798385262499998,12.696001109687497,17.38283814035937,17.84607203292578,22.413558213630544
2,2016-02-29,0.0,0.0,0.0,12.214946249999997,12.214946249999997,12.214946249999997,12.214946249999997,16.956281385679684,16.956281385679684,18.373777096932887
2,2016-03-12,1.19,1.19,1.19,1.19,1.19,1.7180093218749999,1.7180093218749999,1.9360017419062499,1.9360017419062499,2.0147515036425387
2,2016-03-16,0.0,0.0,0.0,15.033779999999997,15.654967437499996,15.654967437499996,15.654967437499996,15.654967437499996,15.654967437499996,15.930591603577009
2,2016-03-23,0.0,0.0,0.0,0.0,0.0,0.07542990312499999,5.781702074531249,5.781702074531249,5.781702074531249,5.781702074531249
2,2016-05-18,0.17,0.17,0.17,0.5876049999999999,3.2498368749999997,5.211014356249999,5.211014356249999,5.211014356249999,5.211014356249999,5.211014356249999
2,2016-06-05,1.02,3.043,5.0081999999999995,5.0081999999999995,5.0081999999999995,5.234489709375,5.234489709375,5.234489709375,5.234489709375,5.234489709375
2,2016-06-07,1.02,23.561999999999998,24.298949999999998,25.760567499999997,27.180424499999997,27.180424499999997,27.180424499999997,27.343918815023436,27.343918815023436,27.343918815023436
2,2016-08-21,1.36,1.649,1.649,1.649,1.649,1.875289709375,1.875289709375,1.875289709375,2.0605832664015624,2.0605832664015624
2,2016-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9919057380355463,4.669397637069374
2,2016-09-20,1.1900000000000002,2.7795,2.7795,2.7795,2.7795,2.7795,2.7795,2.7795,2.7795,2.7795
2,2016-10-04,4.250000000000001,4.250000000000001,4.372825000000001,5.208035000000001,5.4742581875,5.4742581875,5.4742581875,5.9102430275625,8.13376571188125,8.409389877958262
2,2016-11-04,6.46,6.46,6.46,6.46,6.46,6.9880093218749995,7.244470992499999,7.9529463576015615,7.9529463576015615,7.9529463576015615
2,2016-11-05,26.86,32.351,32.351,32.351,32.351,32.351,32.79980792359375,33.017800343625,33.620004403961325,33.620004403961325
2,2016-11-13,0.51,1.5214999999999999,3.855174999999999,3.855174999999999,4.298880312499999,4.374310215624999,4.5025410509374995,7.3364425113437495,14.655538013892967,16.151783486882458
2,2016-11-14,12.58,13.0135,13.873275,15.85689875,15.85689875,16.234048265625,16.29816368328125,16.407159893296875,18.815976134642188,25.037207311809023
2,2016-12-03,0.0,0.0,3.561925,3.561925,3.561925,3.561925,3.561925,3.561925,3.561925,3.640674761736289
2,2016-12-04,10.03,10.03,10.03,13.057636249999998,13.057636249999998,13.057636249999998,13.057636249999998,13.057636249999998,13.057636249999998,13.057636249999998
2,2016-12-12,1.87,2.0145,2.26015,2.26015,2.26015,2.26015,2.26015,6.347507875585936,9.080587841727732,9.080587841727732
2,2016-12-14,0.17,30.514999999999997,31.866075,31.970476249999997,32.147958374999995,32.147958374999995,32.147958374999995,32.147958374999995,32.147958374999995,35.101074440110835
