shi_cd,date,shi_nm,I_15min,I_30min,I_1h,I_2h,I_3h,I_6h,I_8h,I_10h,I_12h,I_24h,daily_total_mm,api_1d,api_2d,api_3d,api_4d,api_5d,api_6d,api_7d,api_8d,api_9d,api_10d,classificacao
2,2015-05-05,Ilha de Paquetá,13.6,9.2,7.6,4.8,3.1999999999999997,2.233333333333333,1.7,1.38,1.15,0.575,13.8,2.2100000000000004,2.2100000000000004,2.2100000000000004,2.2100000000000004,5.315937187499999,5.466796993749999,5.466796993749999,5.466796993749999,6.995468839219139,6.995468839219139,ESA
2,2015-06-15,Ilha de Paquetá,4.8,4.0,3.0,2.6,2.0000000000000004,1.4666666666666668,1.175,0.9800000000000001,0.8333333333333334,0.4166666666666667,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESA
2,2015-06-16,Ilha de Paquetá,13.6,10.0,6.6,4.6,3.4,1.7666666666666666,1.4000000000000001,1.1400000000000001,0.9666666666666667,0.6083333333333333,14.6,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,ESA
2,2015-06-19,Ilha de Paquetá,12.0,9.2,7.4,5.1,3.533333333333333,2.966666666666667,2.625,2.18,1.916666666666667,1.7750000000000001,42.60000000000001,0.0,0.0,8.966224999999998,14.186287499999997,14.186287499999997,14.186287499999997,14.186287499999997,14.186287499999997,14.186287499999997,14.186287499999997,ESA
2,2015-09-08,Ilha de Paquetá,14.4,14.0,8.2,4.9,3.266666666666667,1.6333333333333335,1.225,0.9800000000000001,0.8166666666666668,0.47500000000000003,11.400000000000002,0.0,0.0,1.8423749999999997,2.2599799999999997,2.3487210624999997,2.8767303843749996,3.3255383079687495,3.3255383079687495,3.3255383079687495,3.3255383079687495,ESA
2,2015-09-11,Ilha de Paquetá,8.0,6.0,4.8,2.8,2.066666666666667,1.0999999999999999,0.85,0.6799999999999999,0.5666666666666667,0.48333333333333334,11.600000000000001,0.17,3.2045,10.205525,10.205525,10.205525,11.336973546874999,11.5934352175,11.647933322507813,11.972197047304297,12.24782121338131,ESA
2,2015-09-12,Ilha de Paquetá,4.8,4.4,4.2,3.6999999999999997,2.9333333333333336,1.7000000000000002,1.275,1.02,0.8666666666666667,0.6416666666666667,15.399999999999999,9.860000000000001,10.004500000000002,12.583825000000001,18.53469625,18.53469625,18.53469625,19.49642751484375,19.714419934875,19.760743324131642,20.036367490208654,ESA
2,2015-09-13,Ilha de Paquetá,6.4,6.0,4.800000000000001,3.8,3.1333333333333333,2.066666666666667,1.675,1.3800000000000001,1.1666666666666667,0.6416666666666667,15.399999999999999,13.089999999999998,21.470999999999997,21.593824999999995,23.786251249999996,28.844491812499996,28.844491812499996,28.844491812499996,29.661963387617185,29.847256944643746,29.88663182551189,ESA
2,2015-09-27,Ilha de Paquetá,20.0,12.4,11.600000000000001,6.6000000000000005,4.466666666666667,2.2333333333333334,1.675,1.34,1.1166666666666667,0.5583333333333333,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESA
2,2015-11-02,Ilha de Paquetá,6.4,6.0,5.0,4.2,2.9333333333333336,1.7,1.275,1.02,0.85,0.5,12.0,0.17,0.17,0.90695,1.74216,2.0083831875,2.0083831875,2.0083831875,2.0083831875,2.0083831875,2.0083831875,ESA
2,2015-11-07,Ilha de Paquetá,28.0,22.0,11.4,5.7,4.066666666666666,2.6,1.95,1.58,1.3166666666666667,0.75,18.0,6.289999999999999,7.734999999999999,12.156699999999999,15.288737499999998,20.613201249999996,20.688631153124994,20.688631153124994,21.015619783171868,21.386206897224994,21.50433153982943,ESA
2,2015-11-21,Ilha de Paquetá,30.4,25.6,19.799999999999997,10.8,7.266666666666667,3.6333333333333333,2.725,2.52,2.15,1.0833333333333333,26.0,0.17,0.17,0.292825,0.292825,0.292825,2.782011803125,2.782011803125,2.782011803125,2.782011803125,2.782011803125,ESA
2,2015-11-23,Ilha de Paquetá,42.4,27.6,15.0,7.6,5.866666666666667,3.0,2.275,1.8199999999999998,1.5166666666666666,0.7749999999999999,18.599999999999998,0.0,18.784999999999997,18.907824999999995,18.907824999999995,18.996566062499994,18.996566062499994,18.996566062499994,20.795003527757807,20.795003527757807,20.795003527757807,ESA
2,2015-11-28,Ilha de Paquetá,25.6,14.4,9.4,6.5,4.333333333333333,2.1666666666666665,1.625,1.3,1.0833333333333333,0.5416666666666666,13.0,0.0,0.289,0.289,0.39340125,8.646320062499997,8.646320062499997,16.981324357812497,17.03582246282031,17.03582246282031,17.075197343688455,ESA
2,2015-11-30,Ilha de Paquetá,4.8,4.8,3.6,2.2,1.5999999999999999,1.0333333333333334,0.8,0.66,0.7666666666666666,0.5833333333333334,14.0,5.78,15.1725,15.1725,15.381302499999999,15.381302499999999,15.456732403124999,21.419466245156247,21.419466245156247,27.441506848519527,27.480881729387672,ESA
2,2015-12-06,Ilha de Paquetá,12.8,8.0,5.4,4.800000000000001,3.733333333333333,1.9333333333333336,1.4500000000000002,1.1600000000000001,0.9666666666666668,0.4833333333333334,11.600000000000001,0.0,0.0,0.12282499999999999,0.12282499999999999,0.5665303125,5.84662353125,8.026547731562498,11.56892455707031,11.56892455707031,11.6476743188066,ESA
2,2015-12-07,Ilha de Paquetá,12.8,12.0,8.6,4.4,3.933333333333333,2.6999999999999997,2.4250000000000003,2.06,1.7166666666666668,0.9,21.6,9.860000000000001,9.860000000000001,9.860000000000001,9.964401250000002,9.964401250000002,10.341550765625001,14.8296300015625,16.682565571828125,19.693585873509765,19.693585873509765,ESA
2,2015-12-12,Ilha de Paquetá,19.2,11.6,6.3999999999999995,4.8999999999999995,4.866666666666666,2.8333333333333335,2.125,1.7,1.4166666666666667,0.7083333333333334,17.0,0.0,0.0,0.0,0.7308087499999998,10.314843499999998,14.689777881249999,14.689777881249999,14.689777881249999,14.736101270506639,14.736101270506639,ESA
2,2016-01-01,Ilha de Paquetá,44.0,24.8,13.4,10.0,7.133333333333333,3.6999999999999997,2.775,2.2199999999999998,1.8499999999999999,0.9249999999999999,22.2,0.0,0.0,0.12282499999999999,0.22722624999999996,0.3159673125,0.3159673125,0.3159673125,0.3159673125,0.3159673125,0.3159673125,ESA
2,2016-01-13,Ilha de Paquetá,25.6,22.400000000000002,17.2,10.0,6.800000000000001,3.6999999999999997,2.775,2.2199999999999998,1.8499999999999999,0.9333333333333335,22.4,3.91,4.343500000000001,4.343500000000001,4.552302500000001,4.552302500000001,4.552302500000001,4.552302500000001,4.552302500000001,4.598625889256641,4.756125412729219,ESA
