time_step,time_step_col,antecedent_days,a,b,c,POD,FAR,PPV,score,full_POD,full_FAR,full_PPV,shi_cd,shi_nm,season
2,I_2h,3,69.201224,-0.739474,7.212857,0.700000,0.357143,0.218750,0.098437,0.636364,0.265306,0.212121,8,Micro bacia do Canal dos Bancários,Verao
2,I_2h,4,5.164082,-0.010000,11.487143,0.500000,0.228571,0.238095,0.091837,0.454545,0.173469,0.227273,8,Micro bacia do Canal dos Bancários,Verao
2,I_2h,5,5.164082,-0.010000,11.487143,0.500000,0.228571,0.238095,0.091837,0.454545,0.173469,0.227273,8,Micro bacia do Canal dos Bancários,Verao
2,I_2h,6,5.164082,-0.010000,11.487143,0.500000,0.217391,0.250000,0.097826,0.454545,0.164948,0.238095,8,Micro bacia do Canal dos Bancários,Verao
2,I_2h,7,14.312245,-0.114211,13.090000,0.500000,0.147059,0.333333,0.142157,0.454545,0.114583,0.312500,8,Micro bacia do Canal dos Bancários,Verao
2,I_2h,8,12.787551,-0.062105,12.288571,0.500000,0.132353,0.357143,0.154937,0.454545,0.104167,0.333333,8,Micro bacia do Canal dos Bancários,Verao
2,I_2h,9,12.787551,-0.062105,12.822857,0.500000,0.132353,0.357143,0.154937,0.454545,0.104167,0.333333,8,Micro bacia do Canal dos Bancários,Verao
2,I_2h,10,12.787551,-0.062105,12.822857,0.500000,0.132353,0.357143,0.154937,0.454545,0.104167,0.333333,8,Micro bacia do Canal dos Bancários,Verao
3,I_3h,1,9.102857,-0.322632,10.100000,0.400000,0.125000,0.307692,0.107692,0.363636,0.102041,0.285714,8,Micro bacia do Canal dos Bancários,Verao
3,I_3h,2,22.694966,-0.426842,9.893878,0.400000,0.125000,0.307692,0.107692,0.363636,0.102041,0.285714,8,Micro bacia do Canal dos Bancários,Verao
3,I_3h,3,27.637551,-0.166316,5.771429,0.500000,0.180556,0.277778,0.113812,0.454545,0.142857,0.263158,8,Micro bacia do Canal dos Bancários,Verao
3,I_3h,4,14.045442,-0.010000,3.916327,0.300000,0.069444,0.375000,0.104687,0.272727,0.061224,0.333333,8,Micro bacia do Canal dos Bancários,Verao
3,I_3h,5,14.045442,-0.010000,3.916327,0.300000,0.069444,0.375000,0.104687,0.272727,0.061224,0.333333,8,Micro bacia do Canal dos Bancários,Verao
3,I_3h,6,2.924626,-0.010000,9.275510,0.500000,0.197183,0.263158,0.105634,0.454545,0.154639,0.250000,8,Micro bacia do Canal dos Bancários,Verao
3,I_3h,7,16.516735,-0.166316,9.893878,0.500000,0.142857,0.333333,0.142857,0.454545,0.114583,0.312500,8,Micro bacia do Canal dos Bancários,Verao
3,I_3h,8,15.281088,-0.114211,9.687755,0.500000,0.142857,0.333333,0.142857,0.454545,0.114583,0.312500,8,Micro bacia do Canal dos Bancários,Verao
3,I_3h,9,23.930612,-0.166316,9.687755,0.500000,0.142857,0.333333,0.142857,0.454545,0.114583,0.312500,8,Micro bacia do Canal dos Bancários,Verao
3,I_3h,10,9.102857,-0.062105,9.069388,0.500000,0.157143,0.312500,0.131696,0.454545,0.125000,0.294118,8,Micro bacia do Canal dos Bancários,Verao
6,I_6h,1,13.193197,-0.374737,4.232143,0.500000,0.126582,0.285714,0.124774,0.545455,0.112245,0.352941,8,Micro bacia do Canal dos Bancários,Verao
6,I_6h,2,15.354286,-0.374737,3.325255,0.625000,0.215190,0.227273,0.111479,0.636364,0.183673,0.280000,8,Micro bacia do Canal dos Bancários,Verao
6,I_6h,3,25.619456,-0.374737,3.224490,0.750000,0.265823,0.222222,0.122363,0.727273,0.224490,0.266667,8,Micro bacia do Canal dos Bancários,Verao
6,I_6h,4,25.619456,-0.374737,3.224490,0.750000,0.303797,0.200000,0.104430,0.727273,0.255102,0.242424,8,Micro bacia do Canal dos Bancários,Verao
6,I_6h,5,19.136190,-0.270526,3.728316,0.625000,0.227848,0.217391,0.104912,0.636364,0.193878,0.269231,8,Micro bacia do Canal dos Bancários,Verao
6,I_6h,6,13.193197,-0.166316,3.325255,0.625000,0.243590,0.208333,0.098491,0.636364,0.206186,0.259259,8,Micro bacia do Canal dos Bancários,Verao
6,I_6h,7,16.434830,-0.270526,3.829082,0.625000,0.272727,0.192308,0.087413,0.636364,0.229167,0.241379,8,Micro bacia do Canal dos Bancários,Verao
6,I_6h,8,13.193197,-0.166316,3.325255,0.750000,0.311688,0.200000,0.103247,0.727273,0.260417,0.242424,8,Micro bacia do Canal dos Bancários,Verao
6,I_6h,9,18.055646,-0.166316,3.224490,0.750000,0.337662,0.187500,0.093141,0.727273,0.281250,0.228571,8,Micro bacia do Canal dos Bancários,Verao
6,I_6h,10,23.998639,-0.114211,2.418367,0.750000,0.324675,0.193548,0.098031,0.727273,0.270833,0.235294,8,Micro bacia do Canal dos Bancários,Verao
8,I_8h,1,5.671122,-0.374737,2.525170,0.666667,0.237500,0.240000,0.122000,0.636364,0.204082,0.259259,8,Micro bacia do Canal dos Bancários,Verao
8,I_8h,2,5.171020,-0.270526,2.612245,0.666667,0.225000,0.250000,0.129167,0.636364,0.193878,0.269231,8,Micro bacia do Canal dos Bancários,Verao
8,I_8h,3,5.171020,-0.270526,2.612245,0.777778,0.275000,0.241379,0.136111,0.727273,0.234694,0.258065,8,Micro bacia do Canal dos Bancários,Verao
8,I_8h,4,5.171020,-0.270526,2.612245,0.777778,0.312500,0.218750,0.116970,0.727273,0.265306,0.235294,8,Micro bacia do Canal dos Bancários,Verao
8,I_8h,5,6.171224,-0.270526,2.525170,0.777778,0.312500,0.218750,0.116970,0.727273,0.265306,0.235294,8,Micro bacia do Canal dos Bancários,Verao
8,I_8h,6,9.671939,-0.166316,2.525170,0.666667,0.278481,0.214286,0.103074,0.636364,0.237113,0.233333,8,Micro bacia do Canal dos Bancários,Verao
8,I_8h,7,13.672755,-0.270526,2.699320,0.777778,0.333333,0.212121,0.109989,0.727273,0.281250,0.228571,8,Micro bacia do Canal dos Bancários,Verao
8,I_8h,8,12.672551,-0.166316,2.525170,0.777778,0.294872,0.233333,0.127968,0.727273,0.250000,0.250000,8,Micro bacia do Canal dos Bancários,Verao
8,I_8h,9,13.172653,-0.166316,2.612245,0.777778,0.320513,0.218750,0.115607,0.727273,0.270833,0.235294,8,Micro bacia do Canal dos Bancários,Verao
8,I_8h,10,8.171633,-0.114211,2.525170,0.777778,0.307692,0.225806,0.121588,0.727273,0.260417,0.242424,8,Micro bacia do Canal dos Bancários,Verao
10,I_10h,1,4.819755,-0.426842,2.148299,0.666667,0.237500,0.240000,0.122000,0.636364,0.204082,0.259259,8,Micro bacia do Canal dos Bancários,Verao
10,I_10h,2,3.968163,-0.270526,2.148299,0.666667,0.225000,0.250000,0.129167,0.636364,0.193878,0.269231,8,Micro bacia do Canal dos Bancários,Verao
10,I_10h,3,3.968163,-0.270526,2.148299,0.777778,0.275000,0.241379,0.136111,0.727273,0.234694,0.258065,8,Micro bacia do Canal dos Bancários,Verao
10,I_10h,4,3.968163,-0.270526,2.148299,0.777778,0.300000,0.225806,0.122939,0.727273,0.255102,0.242424,8,Micro bacia do Canal dos Bancários,Verao
10,I_10h,5,6.097143,-0.374737,2.291519,0.777778,0.300000,0.225806,0.122939,0.727273,0.255102,0.242424,8,Micro bacia do Canal dos Bancários,Verao
10,I_10h,6,17.167837,-0.426842,2.291519,0.777778,0.329114,0.212121,0.110685,0.727273,0.278351,0.228571,8,Micro bacia do Canal dos Bancários,Verao
10,I_10h,7,10.355102,-0.270526,2.219909,0.777778,0.333333,0.212121,0.109989,0.727273,0.281250,0.228571,8,Micro bacia do Canal dos Bancários,Verao
10,I_10h,8,10.355102,-0.166316,2.005079,0.777778,0.320513,0.218750,0.115607,0.727273,0.270833,0.235294,8,Micro bacia do Canal dos Bancários,Verao
10,I_10h,9,13.761469,-0.218421,2.291519,0.777778,0.333333,0.212121,0.109989,0.727273,0.281250,0.228571,8,Micro bacia do Canal dos Bancários,Verao
10,I_10h,10,6.522939,-0.114211,2.076689,0.777778,0.320513,0.218750,0.115607,0.727273,0.270833,0.235294,8,Micro bacia do Canal dos Bancários,Verao
12,I_12h,1,3.661633,-0.426842,1.858277,0.666667,0.234568,0.240000,0.122469,0.636364,0.204082,0.259259,8,Micro bacia do Canal dos Bancários,Verao
12,I_12h,2,2.951973,-0.270526,1.858277,0.666667,0.222222,0.250000,0.129630,0.636364,0.193878,0.269231,8,Micro bacia do Canal dos Bancários,Verao
12,I_12h,3,3.306803,-0.270526,1.858277,0.777778,0.271605,0.241379,0.136748,0.727273,0.234694,0.258065,8,Micro bacia do Canal dos Bancários,Verao
12,I_12h,4,3.306803,-0.270526,1.858277,0.777778,0.296296,0.225806,0.123590,0.727273,0.255102,0.242424,8,Micro bacia do Canal dos Bancários,Verao
12,I_12h,5,5.080952,-0.374737,1.920219,0.777778,0.296296,0.225806,0.123590,0.727273,0.255102,0.242424,8,Micro bacia do Canal dos Bancários,Verao
12,I_12h,6,4.016463,-0.010000,1.548564,0.333333,0.062500,0.375000,0.117188,0.363636,0.061856,0.400000,8,Micro bacia do Canal dos Bancários,Verao
12,I_12h,7,4.016463,-0.010000,1.548564,0.333333,0.063291,0.375000,0.117089,0.363636,0.062500,0.400000,8,Micro bacia do Canal dos Bancários,Verao
12,I_12h,8,10.403401,-0.166316,1.672449,0.777778,0.278481,0.241379,0.135458,0.727273,0.239583,0.258065,8,Micro bacia do Canal dos Bancários,Verao
12,I_12h,9,10.758231,-0.166316,1.734392,0.777778,0.303797,0.225806,0.122272,0.727273,0.260417,0.242424,8,Micro bacia do Canal dos Bancários,Verao
12,I_12h,10,7.209932,-0.114211,1.672449,0.777778,0.291139,0.233333,0.128645,0.727273,0.250000,0.250000,8,Micro bacia do Canal dos Bancários,Verao
24,I_24h,1,1.603571,-0.374737,0.958995,0.666667,0.256757,0.240000,0.118919,0.636364,0.215054,0.259259,8,Micro bacia do Canal dos Bancários,Verao
24,I_24h,2,1.388776,-0.270526,0.992063,0.666667,0.256757,0.240000,0.118919,0.636364,0.215054,0.259259,8,Micro bacia do Canal dos Bancários,Verao
