shi_cd,date,shi_nm,I_15min,I_30min,I_1h,I_2h,I_3h,I_6h,I_8h,I_10h,I_12h,I_24h,daily_total_mm
2,2015-05-05,Ilha de Paquetá,13.6,9.2,7.6,4.8,3.1999999999999997,2.233333333333333,1.7,1.38,1.15,0.575,13.8
2,2015-06-15,Ilha de Paquetá,4.8,4.0,3.0,2.6,2.0000000000000004,1.4666666666666668,1.175,0.9800000000000001,0.8333333333333334,0.4166666666666667,10.0
2,2015-06-16,Ilha de Paquetá,13.6,10.0,6.6,4.6,3.4,1.7666666666666666,1.4000000000000001,1.1400000000000001,0.9666666666666667,0.6083333333333333,14.6
2,2015-06-19,Ilha de Paquetá,12.0,9.2,7.4,5.1,3.533333333333333,2.966666666666667,2.625,2.18,1.916666666666667,1.7750000000000001,42.60000000000001
2,2015-09-08,Ilha de Paquetá,14.4,14.0,8.2,4.9,3.266666666666667,1.6333333333333335,1.225,0.9800000000000001,0.8166666666666668,0.47500000000000003,11.400000000000002
2,2015-09-11,Ilha de Paquetá,8.0,6.0,4.8,2.8,2.066666666666667,1.0999999999999999,0.85,0.6799999999999999,0.5666666666666667,0.48333333333333334,11.600000000000001
2,2015-09-12,Ilha de Paquetá,4.8,4.4,4.2,3.6999999999999997,2.9333333333333336,1.7000000000000002,1.275,1.02,0.8666666666666667,0.6416666666666667,15.399999999999999
2,2015-09-13,Ilha de Paquetá,6.4,6.0,4.800000000000001,3.8,3.1333333333333333,2.066666666666667,1.675,1.3800000000000001,1.1666666666666667,0.6416666666666667,15.399999999999999
2,2015-09-27,Ilha de Paquetá,20.0,12.4,11.600000000000001,6.6000000000000005,4.466666666666667,2.2333333333333334,1.675,1.34,1.1166666666666667,0.5583333333333333,13.4
2,2015-11-02,Ilha de Paquetá,6.4,6.0,5.0,4.2,2.9333333333333336,1.7,1.275,1.02,0.85,0.5,12.0
2,2015-11-07,Ilha de Paquetá,28.0,22.0,11.4,5.7,4.066666666666666,2.6,1.95,1.58,1.3166666666666667,0.75,18.0
