duracao_h,intensidade_max_mm_h,id_estacao,id_evento_chuva,start_time,end_time,classificacao
0.25,24.0,22,22_1446940800,2015-11-08 00:00:00,2015-11-08 00:30:00,ESA
0.5,14.4,22,22_1446940800,2015-11-08 00:00:00,2015-11-08 00:30:00,ESA
0.25,8.8,22,22_1448063100,2015-11-20 23:45:00,2015-11-21 00:00:00,ESA
0.25,50.4,22,22_1448095500,2015-11-21 08:45:00,2015-11-21 09:45:00,ESA
0.5,38.4,22,22_1448095500,2015-11-21 08:45:00,2015-11-21 09:45:00,ESA
1.0,24.8,22,22_1448095500,2015-11-21 08:45:00,2015-11-21 09:45:00,ESA
0.25,57.6,22,22_1448252100,2015-11-23 04:15:00,2015-11-23 04:45:00,ESA
0.5,30.8,22,22_1448252100,2015-11-23 04:15:00,2015-11-23 04:45:00,ESA
0.25,41.6,22,22_1448260200,2015-11-23 06:30:00,2015-11-23 07:15:00,ESA
0.5,24.400000000000002,22,22_1448260200,2015-11-23 06:30:00,2015-11-23 07:15:00,ESA
0.25,71.2,22,22_1448739900,2015-11-28 19:45:00,2015-11-28 22:00:00,ESA
0.5,61.2,22,22_1448739900,2015-11-28 19:45:00,2015-11-28 22:00:00,ESA
1.0,59.0,22,22_1448739900,2015-11-28 19:45:00,2015-11-28 22:00:00,ESA
2.0,36.1,22,22_1448739900,2015-11-28 19:45:00,2015-11-28 22:00:00,ESA
0.25,4.8,22,22_1448850600,2015-11-30 02:30:00,2015-11-30 02:45:00,ESA
0.25,7.2,22,22_1448857800,2015-11-30 04:30:00,2015-11-30 05:00:00,ESA
0.5,6.0,22,22_1448857800,2015-11-30 04:30:00,2015-11-30 05:00:00,ESA
0.25,4.0,22,22_1448869500,2015-11-30 07:45:00,2015-11-30 08:00:00,ESA
0.25,12.8,22,22_1448874900,2015-11-30 09:15:00,2015-11-30 10:45:00,ESA
0.5,9.600000000000001,22,22_1448874900,2015-11-30 09:15:00,2015-11-30 10:45:00,ESA
1.0,6.800000000000001,22,22_1448874900,2015-11-30 09:15:00,2015-11-30 10:45:00,ESA
0.25,20.0,22,22_1449442800,2015-12-06 23:00:00,2015-12-06 23:45:00,ESA
0.5,15.2,22,22_1449442800,2015-12-06 23:00:00,2015-12-06 23:45:00,ESA
0.25,8.8,22,22_1449454500,2015-12-07 02:15:00,2015-12-07 03:00:00,ESA
0.5,6.800000000000001,22,22_1449454500,2015-12-07 02:15:00,2015-12-07 03:00:00,ESA
0.25,8.8,22,22_1449467100,2015-12-07 05:45:00,2015-12-07 06:15:00,ESA
0.5,6.4,22,22_1449467100,2015-12-07 05:45:00,2015-12-07 06:15:00,ESA
0.25,4.8,22,22_1449475200,2015-12-07 08:00:00,2015-12-07 08:15:00,ESA
0.25,5.6,22,22_1449501300,2015-12-07 15:15:00,2015-12-07 16:00:00,ESA
0.5,3.5999999999999996,22,22_1449501300,2015-12-07 15:15:00,2015-12-07 16:00:00,ESA
0.25,96.8,22,22_1449954900,2015-12-12 21:15:00,2015-12-12 22:45:00,ESA
0.5,73.19999999999999,22,22_1449954900,2015-12-12 21:15:00,2015-12-12 22:45:00,ESA
1.0,45.199999999999996,22,22_1449954900,2015-12-12 21:15:00,2015-12-12 22:45:00,ESA
0.25,76.0,22,22_1450728900,2015-12-21 20:15:00,2015-12-21 21:00:00,ESA
0.5,41.6,22,22_1450728900,2015-12-21 20:15:00,2015-12-21 21:00:00,ESA
0.25,11.2,22,22_1451676600,2016-01-01 19:30:00,2016-01-01 21:15:00,ESA
0.5,8.8,22,22_1451676600,2016-01-01 19:30:00,2016-01-01 21:15:00,ESA
1.0,6.8,22,22_1451676600,2016-01-01 19:30:00,2016-01-01 21:15:00,ESA
0.25,9.6,22,22_1451752200,2016-01-02 16:30:00,2016-01-02 16:45:00,ESA
0.25,4.8,22,22_1451793600,2016-01-03 04:00:00,2016-01-03 04:15:00,ESA
0.25,6.4,22,22_1452574800,2016-01-12 05:00:00,2016-01-12 05:30:00,ESA
0.5,5.6,22,22_1452574800,2016-01-12 05:00:00,2016-01-12 05:30:00,ESA
