id_estacao,a,b
31,13.934453,0.342009
22,18.387759,0.291451
23,12.776895,0.449415
24,7.118224,0.338219
25,35.125587,0.321191
27,20.774563,0.583776
10,8.197591,0.213125
28,7.601519,0.282529
32,6.255544,0.203858
